date,division,game_nr,home,away,home_timediff,away_timediff,home_nr,away_nr,team1_home_pred
2025-09-03,1,1,Montenegro,Great Britain,2,2,49,30,0
2025-09-03,1,2,Estonia,Portugal,2,2,25,57,0
2025-09-03,1,3,Lithuania,Sweden,2,2,47,69,0
2025-09-03,1,4,Latvia,Czech Republic,2,2,45,20,1
2025-09-03,1,5,Finland,Germany,2,2,26,29,1
2025-09-03,1,6,Turkey,Serbia,2,2,73,63,0
2025-09-04,1,7,Bosnia & Herzegovina,Georgia,2,2,8,28,0
2025-09-04,1,8,France,Iceland,2,2,27,34,0
2025-09-04,1,9,Israel,Slovenia,2,2,39,65,0
2025-09-04,1,10,Cyprus,Italy,2,2,19,40,1
2025-09-04,1,11,Poland,Belgium,2,2,56,7,1
2025-09-04,1,12,Spain,Greece,2,2,68,31,0
